Constituent Number,Title,First Name,Last or Org Name,Pet Type,Pet Name,Address Line 1,Address Line 2,City,State,Postal Code,Spouse Constituent Number,Spouse First Name,Spouse Title,Email Address
800339,Mr.,Phillip,Schwarts,,,5784 Park Rd,,Bradenton,FL,34210,,,,prs3@starmail.net
800363,Mr.,Phillip,Hellmuth,cat,Chip,62 Flush Blvd,,Madison,WI,53702,,,,straightflush@ultimatebet.com
800364,Mr.,Doyle,Brunson,bird,Duece,157 Club Ave,,Longworth,TX,79543,,,,supersystem@sbcglobal.com
800413,Dr.,Gregory,House,,,221 B Baker St.,,Plainsboro,NJ,8536,,,,ghouse@princetonplainsboro.org
818816,,William,Gates,,,1836 73rd Ave,,Medina,WA,98039,818817,Melinda,Mrs.,bgates@microsoft.com
818816,,William,Gates,,,One Microsoft Way,,Redmond,WA,98052,818817,Melinda,Mrs.,bgates@microsoft.com
818892,Dr.,Bob,Smith,cat,Rooster,Grosvenor Gardens House,,London,N/A,Sw1w 0bs,818902,Mary,Mrs.,smithingit@smithworks.uk
818952,Dr.,Scott,Graham,,,123 Main Street,,Pittsburgh,PA,15239,,,,sgraham@animalclinic.org
818953,Dr.,Eve,Eden,,,1001 Charrington Manor Drive,,Pittsburgh,PA,15235,,,,eeden@animalclinic.org
818954,Dr.,Gary,Saldana,,,303 Blue Lake Drive,,Mars,PA,16046,,,,gsaldana@animalclinic.org
818956,,Alex,Smith,,,,,,,,,,,alex.smith@gmail.com
818957,,Alicia,Kreigler,,,,,,,,,,,akreigler@noplace.net
818958,,Mary Jane,Little,,,,,,,,,,,mj@toobusy.net
818959,,Junior,McGee,,,,,,,,,,,jrmcgee@leaveitalone.org
818977,,Mark,Rickard,,,,,,,,,,,mrickard@towercare.com
819032,Mr.,Peter,Griffin,,,31 Spooner Street,,Quahog,RI,2949,,,,peter@griffin.com
819058,Mr.,Roger,Moore,,,,,,,,,,,rogerm@bbc.uk
819059,Mr.,Pierce,Brosnan,,,Governors House,,London,N/A,Sw1w 0bs,,,,Remminton.Steele@gmail.com
,Mrs.,Aaliyah,Smith,,,,,Catasauqua,PA,18032,,,,
,Mrs.,Aarushi,Johnson,,,,,Little Orleans,MD,21766,,,,
,Mrs.,Abagail,Williams,,,,,Holly Hill,SC,29059,,,,
,Mrs.,Abbey,Brown,,,,,Owens Cross Roads,AL,35763,,,,
,Mrs.,Abbi,Jones,,,,,Polkton,NC,28135,,,,
,Mrs.,Abbie,Miller,,,,,Pearl,MS,39208,,,,
,Mrs.,Abby,Davis,,,,,Zearing,IA,50278,,,,
,Mrs.,Abi,Garcia,,,,,Eagleville,PA,19408,,,,
,Mrs.,Abia,Rodriguez,,,,,Whaleyville,MD,21872,,,,
,Mrs.,Abigail,Wilson,,,,,Willow Creek,MT,59760,,,,
,Mrs.,Abree,Martinez,,,,,Loris,SC,29569,,,,
,Mrs.,Abrianna,Anderson,,,,,Wanchese,NC,27981,,,,
,Mrs.,Abrielle,Taylor,,,,,Blythe,GA,30805,,,,
,Mrs.,Aby,Thomas,,,,,Philadelphia,NY,13673,,,,
,Mrs.,Acacia,Hernandez,,,,,Mint Spring,VA,24463,,,,
,Mrs.,Ada,Moore,,,,,Monponsett,MA,2350,,,,
,Mrs.,Adalia,Martin,,,,,Dwarf,KY,41739,,,,
,Mrs.,Adaline,Jackson,,,,,Hicksville,NY,11801,,,,
,Mrs.,Adalyn,Thompson,,,,,Tea,SD,57064,,,,
,Mrs.,Addie,White,,,,,Pathfork,KY,40863,,,,
,Mrs.,Addilyn,Lopez,,,,,Purdys,NY,10578,,,,
,Mrs.,Addison,Lee,,,,,Lyles,TN,37098,,,,
,Mrs.,Adelaide,Gonzalez,,,,,Walhalla,SC,29691,,,,
,Mrs.,Adele,Harris,,,,,Thorndike,MA,1079,,,,
,Mrs.,Adelene,Clark,,,,,Hemlock,NY,14466,,,,
,Mrs.,Adelia,Lewis,,,,,Altamahaw,NC,27202,,,,
,Mrs.,Adelina,Robinson,,,,,Van Vleet,MS,38877,,,,
,Mrs.,Adeline,Walker,,,,,Muldraugh,KY,40155,,,,
,Mrs.,Adelynn,Perez,,,,,Corapeake,NC,27926,,,,
,Mrs.,Adreanna,Hall,,,,,College Corner,OH,45003,,,,
,Mrs.,Adriana,Young,,,,,Westerlo,NY,12193,,,,
,Mrs.,Adrianna,Allen,,,,,Moorefield,WV,26836,,,,
,Mrs.,Adrianne,Sanchez,,,,,Nanafalia,AL,36764,,,,
,Mrs.,Adrienne,Wright,,,,,Chilton,WI,53014,,,,
,Mrs.,Aerona,King,,,,,Everson,PA,15631,,,,
,Mrs.,Agatha,Scott,,,,,Bel Air,MD,21014,,,,
,Mrs.,Aggie,Green,,,,,Silverwood,MI,48760,,,,
,Mrs.,Agnes,Baker,,,,,Newark Valley,NY,13811,,,,
,Mrs.,Aida,Adams,,,,,Nonantum,MA,2495,,,,
,Mrs.,Aileen,Nelson,,,,,Mills River,NC,28759,,,,
,Mrs.,Ailsa,Hill,,,,,Davis City,IA,50065,,,,
,Mrs.,Aimee,Ramirez,,,,,Enderlin,ND,58027,,,,
,Mrs.,Aine,Campbell,,,,,Birdsnest,VA,23307,,,,
,Mrs.,Ainsleigh,Mitchell,,,,,Thurmont,MD,21788,,,,
,Mrs.,Ainsley,Roberts,,,,,Waresboro,GA,31564,,,,
,Mrs.,Aisha,Carter,,,,,Perrysville,OH,44864,,,,
,Mrs.,Aisling,Phillips,,,,,Dickson,TN,37055,,,,
,Mrs.,Aislinn,Evans,,,,,Sandisfield,MA,1255,,,,
,Mrs.,Aislynn,Turner,,,,,Mountain Rest,SC,29664,,,,
,Mrs.,Alaina,Torres,,,,,Fisty,KY,41743,,,,
,Mrs.,Alana,Parker,,,,,Fanrock,WV,24834,,,,
,Mrs.,Alanis,Collins,,,,,Jim Thorpe,PA,18229,,,,
,Mrs.,Alanna,Edwards,,,,,Cannonsburg,MI,49317,,,,
,Mrs.,Alannah,Stewart,,,,,Waxhaw,NC,28173,,,,
,Mrs.,Alaska,Flores,,,,,Elmwood Park,NJ,7407,,,,
,Mrs.,Alayah,Morris,,,,,Eva,AL,35621,,,,
,Mrs.,Alayna,Nguyen,,,,,Franklin,MA,2038,,,,
,Mrs.,Alba,Murphy,,,,,Ashburn,VA,20146,,,,
,Mrs.,Albany,Rivera,,,,,Hagaman,NY,12086,,,,
,Mrs.,Alberta,Cook,,,,,North Augusta,SC,29841,,,,
,Mrs.,Aleah,Rogers,,,,,Laketon,IN,46943,,,,
,Mrs.,Alecia,Morgan,,,,,Burkittsville,MD,21718,,,,
,Mrs.,Aleisha,Peterson,,,,,Benet Lake,WI,53102,,,,
,Mrs.,Alejandra,Cooper,,,,,Murphy,NC,28906,,,,
,Mrs.,Alena,Reed,,,,,Partridge,KY,40862,,,,
,Mrs.,Alessandra,Bailey,,,,,Wayzata,MN,55391,,,,
,Mrs.,Alessia,Bell,,,,,Dundalk,MD,21222,,,,
,Mrs.,Alex,Gomez,,,,,Forestburgh,NY,12777,,,,
,Mrs.,Alexa,Kelly,,,,,Zionsville,PA,18092,,,,
,Mrs.,Alexandra,Howard,,,,,Newmanstown,PA,17073,,,,
,Mrs.,Alexandria,Ward,,,,,Shamokin,PA,17872,,,,
,Mrs.,Alexia,Cox,,,,,Prestonsburg,KY,41653,,,,
,Mrs.,Alexis,Diaz,,,,,Ronco,PA,15476,,,,
,Mrs.,Alexus,Richardson,,,,,Essexville,MI,48732,,,,
,Mrs.,Ali,Wood,,,,,Coshocton,OH,43812,,,,
,Mrs.,Alia,Watson,,,,,Flintstone,MD,21530,,,,
,Mrs.,Alice,Brooks,,,,,Bloomfield Hills,MI,48301,,,,
,Mrs.,Alicia,Bennett,,,,,Wilsall,MT,59086,,,,
,Mrs.,Alina,Gray,,,,,Cooperstown,NY,13326,,,,
,Mrs.,Alisa,James,,,,,Beatrice,AL,36425,,,,
,Mrs.,Alisha,Reyes,,,,,Huntington Mills,PA,18622,,,,
,Mrs.,Alison,Cruz,,,,,Bloomingdale,NJ,7403,,,,
,Mrs.,Alissa,Hughes,,,,,White Post,VA,22663,,,,
,Mrs.,Alivia,Price,,,,,Numidia,PA,17858,,,,
,Mrs.,Aliyah,Myers,,,,,North Amherst,MA,1059,,,,
,Mrs.,Aliza,Long,,,,,Cornwall Bridge,CT,6754,,,,
,Mrs.,Alize,Foster,,,,,Blooming Glen,PA,18911,,,,
,Mrs.,Alka,Sanders,,,,,Swengel,PA,17880,,,,
,Mrs.,Allie,Ross,,,,,Ocean Bluff,MA,2065,,,,
,Mrs.,Allison,Morales,,,,,Mannington,WV,26582,,,,
,Mrs.,Ally,Powell,,,,,Girardville,PA,17935,,,,
,Mrs.,Allyson,Sullivan,,,,,Livonia,NY,14487,,,,
,Mrs.,Alma,Russell,,,,,Mapleton,ME,4757,,,,
,Mrs.,Alondra,Ortiz,,,,,Truro,MA,2666,,,,
,Mrs.,Alya,Jenkins,,,,,Schnellville,IN,47580,,,,
,Mrs.,Alycia,Gutierrez,,,,,Parker City,IN,47368,,,,
,Mrs.,Alyshialynn,Perry,,,,,Smiths Creek,MI,48074,,,,
,Mrs.,Alyson,Butler,,,,,Black Lick,PA,15716,,,,
,Mrs.,Alyssa,Barnes,,,,,Reno,PA,16343,,,,
,Mrs.,Alyssia,Fisher,,,,,Beaver Falls,NY,13305,,,,
,Mrs.,Amalia,Henderson,,,,,Willisburg,KY,40078,,,,
,Mrs.,Amanda,Coleman,,,,,Meadville,PA,16335,,,,
,Mrs.,Amandine,Simmons,,,,,Killbuck,OH,44637,,,,
,Mrs.,Amani,Patterson,,,,,Dougherty,IA,50433,,,,
,Mrs.,Amara,Jordan,,,,,Ivor,VA,23866,,,,
,Mrs.,Amari,Reynolds,,,,,Neversink,NY,12765,,,,
,Mrs.,Amaris,Hamilton,,,,,Tigerton,WI,54486,,,,
,Mrs.,Amaryllis,Graham,,,,,Mallard,IA,50562,,,,
,Mrs.,Amaya,Kim,,,,,Suffield,CT,6078,,,,
,Mrs.,Amber,Gonzales,,,,,Mount Wolf,PA,17347,,,,
,Mrs.,Amberly,Alexander,,,,,Almont,MI,48003,,,,
,Mrs.,Amelia,Ramos,,,,,Salinas,PR,751,,,,
,Mrs.,Amelie,Wallace,,,,,Christiansburg,VA,24068,,,,
,Mrs.,America,Griffin,,,,,Crocketville,SC,29913,,,,
,Mrs.,Amethyst,West,,,,,Greeley,PA,18425,,,,
,Mrs.,Amie,Cole,,,,,Ekalaka,MT,59324,,,,
,Mrs.,Amina,Hayes,,,,,Waban,MA,2468,,,,
,Mrs.,Amirah,Chavez,,,,,Friendly,WV,26146,,,,
,Mrs.,Amity,Gibson,,,,,Vinalhaven,ME,4863,,,,
,Mrs.,Amy,Bryant,,,,,Boomer,WV,25031,,,,
,Mrs.,Amya,Ellis,,,,,Luck,WI,54853,,,,
,Mrs.,Ana,Stevens,,,,,Carter Lake,IA,51510,,,,
,Mrs.,Anabel,Murray,,,,,Belfield,ND,58622,,,,
,Mrs.,Anabelle,Ford,,,,,Remlap,AL,35133,,,,
,Mrs.,Anahi,Marshall,,,,,Des Plaines,IL,60016,,,,
,Mrs.,Anais,Owens,,,,,Eagle Lake,ME,4739,,,,
,Mrs.,Anamaria,Mcdonald,,,,,Turin,NY,13473,,,,
,Mrs.,Ananya,Harrison,,,,,Newcomb,NY,12852,,,,
,Mrs.,Anastasia,Ruiz,,,,,Perkasie,PA,18944,,,,
,Mrs.,Andie,Kennedy,,,,,Pinopolis,SC,29469,,,,
,Mrs.,Andrea,Wells,,,,,South Montrose,PA,18843,,,,
,Mrs.,Andromeda,Alvarez,,,,,Edinburgh,IN,46124,,,,
,Mrs.,Angel,Woods,,,,,Romeo,MI,48065,,,,
,Mrs.,Angela,Mendoza,,,,,Kelso,TN,37348,,,,
,Mrs.,Angelia,Castillo,,,,,Clifton,NJ,7011,,,,
,Mrs.,Angelica,Olson,,,,,Demopolis,AL,36732,,,,
,Mrs.,Angelina,Webb,,,,,West Topsham,VT,5086,,,,
,Mrs.,Angeline,Washington,,,,,Middlesboro,KY,40965,,,,
,Mrs.,Angelique,Tucker,,,,,Ruleville,MS,38771,,,,
,Mrs.,Angie,Freeman,,,,,Cedar Bluff,VA,24609,,,,
,Mrs.,Anika,Burns,,,,,Freeman,VA,23856,,,,
,Mrs.,Anisa,Henry,,,,,Forest Park,GA,30297,,,,
,Mrs.,Anissa,Vasquez,,,,,Bridgehampton,NY,11932,,,,
,Mrs.,Anita,Snyder,,,,,Crittenden,NY,14038,,,,
,Mrs.,Aniya,Simpson,,,,,Brooten,MN,56316,,,,
,Mrs.,Aniyah,Crawford,,,,,Reliance,TN,37369,,,,
,Mrs.,Anjali,Jimenez,,,,,Six Lakes,MI,48886,,,,
,Mrs.,Ann,Porter,,,,,Bedford,MA,1730,,,,
,Mrs.,Anna,Mason,,,,,College Park,MD,20740,,,,
,Mrs.,Annabel,Shaw,,,,,Mahwah,NJ,7430,,,,
,Mrs.,Annabella,Gordon,,,,,Williamston,NC,27892,,,,
,Mrs.,Annabelle,Wagner,,,,,Bowler,WI,54416,,,,
,Mrs.,Annabeth,Hunter,,,,,Mount Gretna,PA,17064,,,,
,Mrs.,Annalisa,Romero,,,,,Atlantic Highlands,NJ,7716,,,,
,Mrs.,Annalise,Hicks,,,,,Social Circle,GA,30025,,,,
,Mrs.,Annamaria,Dixon,,,,,Wardtown,VA,23482,,,,
,Mrs.,Anne,Hunt,,,,,Cuttyhunk,MA,2713,,,,
,Mrs.,Anneke,Palmer,,,,,Rockton,PA,15856,,,,
,Mrs.,Annemarie,Robertson,,,,,Oral,SD,57766,,,,
,Mrs.,Annette,Black,,,,,Sapphire,NC,28774,,,,
,Mrs.,Annie,Holmes,,,,,Mc Lemoresville,TN,38235,,,,
,Mrs.,Annika,Stone,,,,,Pinnacle,NC,27043,,,,
,Mrs.,Annmarie,Meyer,,,,,Lindale,GA,30147,,,,
,Mrs.,Anthea,Boyd,,,,,Saint Michael,PA,15951,,,,
,Mrs.,Antoinette,Mills,,,,,Manns Harbor,NC,27953,,,,
,Mrs.,Antonia,Warren,,,,,Spearfish,SD,57783,,,,
,Mrs.,Anuja,Fox,,,,,Perrysburg,NY,14129,,,,
,Mrs.,Anusha,Rose,,,,,Ponte Vedra Beach,FL,32004,,,,
,Mrs.,Anushka,Rice,,,,,Doerun,GA,31744,,,,
,Mrs.,Anwen,Moreno,,,,,Owensburg,IN,47453,,,,
,Mrs.,Anya,Schmidt,,,,,Loxley,AL,36551,,,,
,Mrs.,Aoibhe,Patel,,,,,Elk River,MN,55330,,,,
,Mrs.,Aoibheann,Ferguson,,,,,Spruce,MI,48762,,,,
,Mrs.,Aoife,Nichols,,,,,Branchdale,PA,17923,,,,
,Mrs.,Aphrodite,Herrera,,,,,Rhinelander,WI,54501,,,,
,Mrs.,Apple,Medina,,,,,Willow City,ND,58384,,,,
,Mrs.,April,Ryan,,,,,Lewiston,ME,4240,,,,
,Mrs.,Aqua,Fernandez,,,,,Ankeny,IA,50021,,,,
,Mrs.,Arabella,Weaver,,,,,Grand Lake Stream,ME,4637,,,,
,Mrs.,Arabelle,Daniels,,,,,Gordon,PA,17936,,,,
,Mrs.,Arden,Stephens,,,,,Saucier,MS,39574,,,,
,Mrs.,Aria,Gardner,,,,,Makinen,MN,55763,,,,
,Mrs.,Ariadne,Payne,,,,,Lake Leelanau,MI,49653,,,,
,Mrs.,Ariana,Kelley,,,,,Garden,MI,49835,,,,
,Mrs.,Arianna,Dunn,,,,,Clutier,IA,52217,,,,
,Mrs.,Arianne,Pierce,,,,,Barry,MN,56210,,,,
,Mrs.,Ariel,Arnold,,,,,Due West,SC,29639,,,,
,Mrs.,Ariella,Tran,,,,,Mont Vernon,NH,3057,,,,
,Mrs.,Arielle,Spencer,,,,,Blackstock,SC,29014,,,,
,Mrs.,Arisha,Peters,,,,,Bettendorf,IA,52722,,,,
,Mrs.,Arleen,Hawkins,,,,,Olar,SC,29843,,,,
,Mrs.,Arlene,Grant,,,,,Farmington Falls,ME,4940,,,,
,Mrs.,Arlette,Hansen,,,,,Big Pine Key,FL,33043,,,,
,Mrs.,Artemis,Castro,,,,,Ages Brookside,KY,40801,,,,
,Mrs.,Arwen,Hoffman,,,,,Big Stone City,SD,57216,,,,
,Mrs.,Arya,Hart,,,,,Fox Lake,WI,53933,,,,
,Mrs.,Asha,Elliott,,,,,Lockbourne,OH,43137,,,,
,Mrs.,Ashanti,Cunningham,,,,,Falls Church,VA,22040,,,,
,Mrs.,Ashlee,Knight,,,,,Port Washington,NY,11050,,,,
,Mrs.,Ashleigh,Bradley,,,,,Richfield Springs,NY,13439,,,,
,Mrs.,Ashley,Carroll,,,,,Mayfield,NY,12117,,,,
,Mrs.,Ashlie,Hudson,,,,,East Prospect,PA,17317,,,,
,Mrs.,Ashlyn,Duncan,,,,,Hollansburg,OH,45332,,,,
,Mrs.,Ashlynn,Armstrong,,,,,Englewood,NJ,7631,,,,
,Mrs.,Ashton,Berry,,,,,Belcourt,ND,58316,,,,
,Mrs.,Ashvini,Andrews,,,,,Chinchilla,PA,18410,,,,
,Mrs.,Asia,Johnston,,,,,Claysville,PA,15323,,,,
,Mrs.,Asma,Ray,,,,,Poestenkill,NY,12140,,,,
,Mrs.,Aspen,Lane,,,,,Williamsburg,MA,1096,,,,
,Mrs.,Aster,Riley,,,,,Shamokin Dam,PA,17876,,,,
,Mrs.,Astra,Carpenter,,,,,Carrsville,VA,23315,,,,
,Mrs.,Astrid,Perkins,,,,,Angora,MN,55703,,,,
,Mrs.,Athalia,Aguilar,,,,,Harrellsville,NC,27942,,,,
,Mrs.,Athena,Silva,,,,,Ono,PA,17077,,,,
,Mrs.,Athene,Richards,,,,,Nantucket,MA,2554,,,,
,Mrs.,Atlanta,Willis,,,,,Waterford,ME,4088,,,,
,Mrs.,Aubreanna,Matthews,,,,,Toano,VA,23168,,,,
,Mrs.,Aubree,Chapman,,,,,Dunnellon,FL,34430,,,,
,Mrs.,Aubrey,Lawrence,,,,,Tuscarawas,OH,44682,,,,
,Mrs.,Aubriana,Garza,,,,,Olivebridge,NY,12461,,,,
,Mrs.,Aubrielle,Vargas,,,,,Salem,MA,1970,,,,
,Mrs.,Audra,Watkins,,,,,Willsboro,NY,12996,,,,
,Mrs.,Audrey,Wheeler,,,,,Torrington,CT,6790,,,,
,Mrs.,Audriana,Larson,,,,,Chickasaw,OH,45826,,,,
,Mrs.,Audrina,Carlson,,,,,Gerry,NY,14740,,,,
,Mrs.,Augustina,Harper,,,,,Gibson Island,MD,21056,,,,
,Mrs.,Aura,George,,,,,Gilby,ND,58235,,,,
,Mrs.,Aurelia,Greene,,,,,Southern Pines,NC,28387,,,,
,Mrs.,Aurora,Burke,,,,,East Princeton,MA,1517,,,,
,Mrs.,Autumn,Guzman,,,,,Mishicot,WI,54228,,,,
,Mrs.,Ava,Morrison,,,,,Gilbertsville,NY,13776,,,,
,Mrs.,Avaline,Munoz,,,,,Leavenworth,IN,47137,,,,
,Mrs.,Avalon,Jacobs,,,,,Niles,OH,44446,,,,
,Mrs.,Avery,Obrien,,,,,Fruitland Park,FL,34731,,,,
,Mrs.,Avia,Lawson,,,,,Blanch,NC,27212,,,,
,Mrs.,Avril,Franklin,,,,,Greenville Junction,ME,4442,,,,
,Mrs.,Aya,Lynch,,,,,Rexford,NY,12148,,,,
,Mrs.,Ayana,Bishop,,,,,New Fairfield,CT,6812,,,,
,Mrs.,Ayanna,Carr,,,,,Fair Bluff,NC,28439,,,,
,Mrs.,Ayesha,Salazar,,,,,Melrose Park,IL,60160,,,,
,Mrs.,Ayisha,Austin,,,,,Cumberland Foreside,ME,4110,,,,
,Mrs.,Ayla,Mendez,,,,,Thompsons Station,TN,37179,,,,
,Mrs.,Azalea,Gilbert,,,,,South Acworth,NH,3607,,,,
,Mrs.,Azaria,Jensen,,,,,Saint Michael,PA,15951,,,,
,Mrs.,Azariah,Williamson,,,,,Port Henry,NY,12974,,,,
,Mrs.,Bailey,Montgomery,,,,,Atoka,TN,38004,,,,
,Mrs.,Barbara,Harvey,,,,,Big Rapids,MI,49307,,,,
,Mrs.,Barbie,Oliver,,,,,Cave Spring,GA,30124,,,,
,Mrs.,Bay,Howell,,,,,Millers Falls,MA,1349,,,,
,Mrs.,Baylee,Dean,,,,,Minot,MA,2055,,,,
